city,aqi
黄南州,60
海南州,52
果洛州,72
玉树州,54
海西州,63
银川,160
石嘴山,118
吴忠,178
固原,72
中卫,236
乌鲁木齐,133
克拉玛依,83
吐鲁番地区,221
哈密地区,120
昌吉州,95
博州,97
库尔勒,113
阿克苏地区,97
克州,109
喀什地区,247
和田地区,159
伊犁哈萨克州,65
塔城地区,66
阿勒泰地区,64
石河子,117
五家渠,112
那曲地区,122
林芝地区,56
西安,159
铜川,115
宝鸡,98
咸阳,159
渭南,159
延安,112
汉中,245
榆林,109
安康,143
商洛,64
兰州,117
嘉峪关,78
金昌,116
白银,155
天水,166
武威,137
张掖,98
平凉,130
酒泉,87
庆阳,117
定西,93
陇南,109
临夏州,183
甘南州,128
西宁,65
海东地区,98
贵阳,77
六盘水,74
遵义,93
安顺,72
铜仁地区,61
黔西南州,64
黔东南州,64
保山,55
昭通,69
红河州,75
文山州,88
大理州,54
怒江州,79
日喀则地区,54
贵港,54
玉林,107
贺州,89
海口,79
三亚,60
重庆,130
成都,122
自贡,145
泸州,112
德阳,109
绵阳,72
广元,73
遂宁,90
内江,133
乐山,113
南充,114
眉山,113
宜宾,134
广安,107
达州,218
雅安,102
巴中,98
资阳,85
娄底,123
湘西州,99
广州,79
韶关,60
深圳,90
珠海,112
汕头,77
佛山,80
江门,109
湛江,103
茂名,112
肇庆,64
惠州,75
梅州,83
汕尾,84
河源,89
阳江,82
清远,69
东莞,94
中山,110
潮州,95
揭阳,98
云浮,62
桂林,55
梧州,90
北海,89
防城港,53
钦州,54
南阳,172
商丘,199
信阳,124
周口,179
驻马店,119
武汉,237
黄石,227
十堰,73
宜昌,217
襄樊,217
鄂州,214
荆门,250
孝感,236
荆州,295
黄冈,210
咸宁,144
随州,193
恩施州,133
长沙,190
株洲,172
湘潭,144
衡阳,92
邵阳,97
岳阳,120
常德,95
张家界,114
益阳,119
郴州,97
永州,74
怀化,90
莱州,139
蓬莱,102
招远,132
潍坊,139
寿光,208
济宁,288
泰安,290
威海,62
文登,87
荣成,65
乳山,137
日照,235
莱芜,313
临沂,367
德州,308
聊城,373
滨州,237
菏泽,348
郑州,273
开封,228
洛阳,158
平顶山,153
安阳,234
鹤壁,129
新乡,203
焦作,94
濮阳,221
许昌,201
漯河,140
三门峡,145
莆田,64
三明,104
泉州,70
漳州,92
南平,93
龙岩,72
宁德,87
南昌,129
景德镇,139
萍乡,232
九江,155
新余,115
鹰潭,152
赣州,82
吉安,97
宜春,89
抚州,119
上饶,94
济南,212
章丘,121
青岛,183
胶州,147
即墨,189
平度,198
胶南,195
莱西,228
淄博,213
枣庄,306
东营,238
烟台,87
宁波,242
温州,198
嘉兴,214
湖州,168
诸暨,176
金华,202
义乌,201
衢州,127
舟山,201
台州,159
丽水,125
绍兴,189
合肥,170
芜湖,119
蚌埠,117
淮南,107
马鞍山,169
淮北,219
铜陵,209
安庆,100
黄山,84
滁州,119
阜阳,117
宿州,129
六安,86
亳州,119
池州,89
宣城,108
福州,82
厦门,68
绥化,216
大兴安岭地区,53
上海,240
南京,153
无锡,204
江阴,238
宜兴,143
徐州,226
常州,220
溧阳,139
金坛,152
苏州,209
常熟,198
张家港,280
昆山,198
吴江,168
太仓,255
南通,269
海门,298
连云港,264
淮安,258
盐城,276
扬州,158
镇江,165
句容,178
泰州,220
宿迁,218
杭州,173
富阳,134
临安,127
本溪,138
丹东,112
锦州,98
营口,64
阜新,101
辽阳,97
盘锦,80
铁岭,107
朝阳,70
葫芦岛,91
长春,188
吉林,223
四平,128
辽源,125
通化,100
白山,122
松原,119
白城,119
延边州,73
哈尔滨,236
齐齐哈尔,100
鹤岗,175
双鸭山,104
大庆,94
伊春,69
佳木斯,118
七台河,199
牡丹江,94
衡水,289
张家口,58
太原,140
大同,75
阳泉,89
长治,130
晋城,113
朔州,106
晋中,112
运城,226
忻州,90
临汾,166
吕梁,135
呼和浩特,116
包头,134
乌海,215
赤峰,83
通辽,66
鄂尔多斯,59
呼伦贝尔,89
巴彦淖尔,198
乌兰察布,60
兴安盟,88
锡林郭勒盟,57
阿拉善盟,57
沈阳,160
大连,127
瓦房店,178
鞍山,109
抚顺,156
北京,208
天津,237
石家庄,247
唐山,217
秦皇岛,127
邯郸,169
邢台,264
保定,254
承德,79
沧州,153
廊坊,240
