city,aqi
库尔勒,112
阿克苏地区,86
克州,96
喀什地区,265
和田地区,167
伊犁哈萨克州,96
塔城地区,75
阿勒泰地区,53
石河子,134
五家渠,175
白银,116
天水,150
武威,119
张掖,91
平凉,113
酒泉,77
庆阳,92
定西,84
陇南,93
临夏州,270
甘南州,129
西宁,62
海东地区,83
海北州,57
黄南州,93
海南州,54
果洛州,55
玉树州,126
海西州,68
银川,112
石嘴山,143
吴忠,98
固原,67
中卫,125
乌鲁木齐,257
克拉玛依,97
吐鲁番地区,227
哈密地区,178
昌吉州,153
博州,128
思茅,62
临沧,67
楚雄州,57
文山州,67
西双版纳州,62
大理州,57
德宏州,67
昌都地区,54
山南地区,64
日喀则地区,69
那曲地区,55
西安,93
铜川,97
宝鸡,64
咸阳,98
渭南,82
延安,110
汉中,147
榆林,95
安康,97
商洛,81
兰州,95
嘉峪关,95
金昌,105
广元,52
遂宁,68
内江,98
乐山,83
南充,89
眉山,95
宜宾,113
广安,98
达州,133
雅安,74
巴中,92
资阳,69
凉山州,64
贵阳,73
六盘水,117
遵义,78
安顺,86
铜仁地区,70
黔西南州,69
黔东南州,68
昆明,68
玉溪,54
保山,102
阳江,60
清远,54
东莞,68
中山,68
潮州,84
揭阳,66
南宁,77
柳州,92
桂林,114
梧州,68
北海,70
防城港,68
钦州,78
贵港,72
玉林,59
百色,68
贺州,82
河池,65
来宾,94
崇左,72
海口,62
三亚,52
重庆,102
成都,109
自贡,87
攀枝花,79
泸州,88
德阳,82
绵阳,62
随州,153
恩施州,124
长沙,173
株洲,152
湘潭,152
衡阳,150
邵阳,173
岳阳,105
常德,137
张家界,139
益阳,193
郴州,108
永州,125
怀化,123
娄底,144
湘西州,94
广州,65
韶关,63
深圳,64
珠海,79
汕头,65
佛山,58
江门,70
湛江,80
茂名,83
肇庆,60
惠州,57
梅州,62
汕尾,66
河源,67
滨州,168
菏泽,228
郑州,211
开封,268
洛阳,106
平顶山,178
安阳,245
鹤壁,133
新乡,193
焦作,98
濮阳,311
许昌,193
漯河,124
三门峡,100
南阳,156
商丘,169
信阳,118
周口,172
驻马店,133
武汉,211
黄石,182
十堰,77
宜昌,256
襄樊,215
鄂州,183
荆门,204
孝感,237
荆州,214
黄冈,149
咸宁,139
抚州,59
上饶,54
济南,148
章丘,125
青岛,74
胶州,83
即墨,90
平度,88
胶南,104
莱西,99
淄博,205
枣庄,235
东营,140
烟台,70
莱州,113
蓬莱,76
招远,98
潍坊,123
寿光,169
济宁,192
泰安,216
威海,54
文登,84
荣成,55
乳山,84
日照,149
莱芜,205
临沂,240
德州,192
聊城,195
马鞍山,160
淮北,152
铜陵,127
安庆,77
黄山,67
滁州,122
阜阳,110
宿州,105
六安,85
亳州,112
池州,79
宣城,98
福州,55
厦门,53
莆田,56
三明,53
泉州,53
漳州,53
南平,59
龙岩,51
宁德,55
南昌,80
景德镇,92
萍乡,142
九江,83
新余,90
鹰潭,82
赣州,67
吉安,82
宜春,63
太仓,113
南通,112
海门,109
连云港,203
淮安,150
盐城,140
扬州,127
镇江,128
句容,124
泰州,169
宿迁,147
杭州,119
富阳,138
临安,102
宁波,165
温州,94
嘉兴,158
湖州,129
诸暨,112
金华,100
义乌,119
衢州,69
舟山,82
台州,107
丽水,84
绍兴,135
合肥,144
芜湖,107
蚌埠,122
淮南,82
松原,61
白城,155
哈尔滨,223
齐齐哈尔,55
双鸭山,60
大庆,119
伊春,53
七台河,84
牡丹江,54
绥化,112
上海,94
南京,138
无锡,188
江阴,138
宜兴,122
徐州,158
常州,196
溧阳,133
金坛,122
苏州,176
常熟,117
张家港,149
昆山,102
吴江,149
赤峰,104
通辽,92
鄂尔多斯,86
呼伦贝尔,87
巴彦淖尔,99
乌兰察布,77
兴安盟,94
阿拉善盟,66
沈阳,219
大连,64
瓦房店,79
鞍山,117
抚顺,104
本溪,107
丹东,61
锦州,100
营口,140
阜新,104
辽阳,129
盘锦,110
铁岭,94
朝阳,192
葫芦岛,112
长春,132
吉林,130
四平,95
辽源,124
通化,132
白山,110
北京,190
天津,195
石家庄,226
唐山,173
秦皇岛,114
邯郸,236
邢台,314
保定,395
承德,95
沧州,163
廊坊,188
衡水,232
张家口,66
太原,112
大同,85
阳泉,89
长治,119
晋城,128
朔州,94
晋中,105
运城,163
忻州,144
临汾,142
吕梁,122
呼和浩特,119
包头,125
乌海,93
