city,aqi
吴忠,206
固原,82
中卫,192
乌鲁木齐,148
克拉玛依,88
吐鲁番地区,216
哈密地区,125
昌吉州,97
博州,137
库尔勒,122
阿克苏地区,76
克州,106
喀什地区,209
和田地区,157
伊犁哈萨克州,115
塔城地区,72
阿勒泰地区,76
石河子,202
五家渠,148
渭南,227
延安,112
汉中,231
榆林,102
安康,186
商洛,54
兰州,124
嘉峪关,117
金昌,121
白银,172
天水,185
武威,122
张掖,103
平凉,122
酒泉,126
庆阳,107
定西,92
陇南,113
临夏州,186
甘南州,114
西宁,64
海东地区,80
黄南州,62
果洛州,67
玉树州,64
海西州,55
银川,228
石嘴山,162
黔东南州,53
昆明,53
保山,64
昭通,51
临沧,62
红河州,103
文山州,78
大理州,54
昌都地区,60
日喀则地区,77
那曲地区,127
阿里地区,57
西安,206
铜川,166
宝鸡,118
咸阳,215
海口,77
三亚,60
重庆,138
成都,168
自贡,124
泸州,114
德阳,142
绵阳,85
广元,73
遂宁,109
内江,143
乐山,108
南充,142
眉山,104
宜宾,103
广安,127
达州,204
雅安,110
巴中,119
资阳,117
六盘水,69
遵义,89
安顺,60
铜仁地区,79
黔西南州,54
佛山,72
江门,90
湛江,84
茂名,118
惠州,82
梅州,93
汕尾,85
河源,102
阳江,84
清远,52
东莞,97
中山,94
潮州,89
揭阳,99
柳州,54
梧州,52
百色,62
贺州,59
十堰,74
宜昌,212
襄樊,250
鄂州,201
荆门,230
孝感,217
荆州,185
黄冈,183
咸宁,124
随州,213
恩施州,149
长沙,211
株洲,180
湘潭,143
衡阳,90
邵阳,93
岳阳,112
常德,124
张家界,99
益阳,96
郴州,103
永州,83
怀化,155
娄底,163
湘西州,102
广州,74
深圳,99
珠海,114
汕头,90
威海,56
文登,54
荣成,55
乳山,60
日照,163
莱芜,226
临沂,225
德州,180
聊城,207
滨州,122
菏泽,263
郑州,227
开封,158
洛阳,158
平顶山,206
安阳,160
鹤壁,88
新乡,168
焦作,113
濮阳,99
许昌,246
漯河,200
三门峡,189
南阳,201
商丘,199
信阳,169
周口,257
驻马店,201
武汉,236
黄石,210
南昌,127
景德镇,152
萍乡,226
九江,125
新余,98
鹰潭,153
赣州,80
吉安,114
宜春,84
抚州,127
上饶,98
济南,169
章丘,109
青岛,142
胶州,124
即墨,128
平度,89
胶南,158
莱西,84
淄博,150
枣庄,203
东营,87
莱州,79
蓬莱,65
招远,60
潍坊,90
寿光,110
济宁,175
泰安,165
衢州,99
舟山,149
台州,102
丽水,110
绍兴,139
合肥,143
芜湖,112
蚌埠,107
淮南,102
马鞍山,193
淮北,199
铜陵,162
安庆,98
黄山,80
滁州,123
阜阳,100
宿州,108
六安,83
亳州,133
池州,78
宣城,85
福州,66
厦门,60
莆田,68
三明,89
泉州,58
漳州,93
南平,92
龙岩,72
宁德,62
徐州,205
常州,220
溧阳,140
金坛,155
苏州,220
常熟,206
张家港,256
昆山,217
吴江,199
太仓,257
南通,233
海门,241
连云港,160
淮安,173
盐城,158
扬州,144
镇江,159
句容,192
泰州,185
宿迁,153
杭州,134
富阳,140
临安,99
宁波,153
温州,119
嘉兴,189
湖州,148
诸暨,152
金华,148
义乌,169
铁岭,145
朝阳,61
葫芦岛,61
长春,172
吉林,168
四平,145
辽源,139
通化,73
白山,79
松原,74
白城,84
哈尔滨,148
齐齐哈尔,62
鹤岗,67
双鸭山,78
大庆,59
佳木斯,79
七台河,169
牡丹江,78
绥化,74
上海,248
南京,176
无锡,210
江阴,236
宜兴,147
朔州,149
晋中,104
运城,258
忻州,145
临汾,150
吕梁,149
呼和浩特,114
包头,144
乌海,221
赤峰,82
通辽,58
鄂尔多斯,82
呼伦贝尔,82
巴彦淖尔,202
乌兰察布,112
兴安盟,74
阿拉善盟,95
沈阳,135
大连,52
瓦房店,72
鞍山,110
抚顺,128
本溪,129
丹东,57
锦州,76
营口,53
阜新,62
辽阳,104
盘锦,53
北京,59
天津,74
石家庄,122
唐山,105
秦皇岛,53
邯郸,139
邢台,178
保定,180
承德,58
沧州,89
廊坊,89
衡水,153
张家口,59
太原,122
大同,95
阳泉,95
长治,130
晋城,112
