city,aqi
中卫,111
乌鲁木齐,220
克拉玛依,87
吐鲁番地区,204
哈密地区,133
昌吉州,133
博州,128
库尔勒,133
阿克苏地区,92
克州,114
喀什地区,213
和田地区,129
伊犁哈萨克州,86
塔城地区,67
阿勒泰地区,60
石河子,172
五家渠,283
台州,59
丽水,54
绍兴,76
合肥,95
芜湖,65
蚌埠,84
淮南,53
马鞍山,87
淮北,92
铜陵,74
安庆,59
黄山,52
滁州,78
阜阳,90
宿州,70
六安,77
亳州,74
池州,59
宣城,72
福州,59
厦门,55
莆田,54
三明,61
漳州,75
南平,51
宁德,58
南昌,62
景德镇,67
溧阳,81
金坛,63
苏州,80
常熟,68
张家港,89
昆山,62
吴江,71
太仓,59
南通,65
海门,62
连云港,82
淮安,94
盐城,75
扬州,93
镇江,76
句容,62
泰州,79
宿迁,87
杭州,70
富阳,78
临安,80
宁波,64
嘉兴,63
湖州,70
诸暨,82
金华,83
义乌,82
衢州,52
葫芦岛,81
长春,107
吉林,117
四平,85
辽源,89
通化,98
白山,92
松原,59
白城,79
哈尔滨,84
七台河,65
上海,56
南京,77
无锡,80
江阴,80
宜兴,59
徐州,100
常州,75
运城,85
忻州,156
临汾,102
吕梁,120
呼和浩特,103
包头,142
乌海,113
赤峰,105
通辽,64
鄂尔多斯,66
呼伦贝尔,67
巴彦淖尔,97
乌兰察布,84
兴安盟,66
阿拉善盟,108
沈阳,91
瓦房店,77
鞍山,81
抚顺,93
本溪,65
丹东,56
锦州,69
营口,67
阜新,62
辽阳,63
铁岭,70
朝阳,97
北京,85
天津,94
石家庄,198
唐山,110
秦皇岛,86
邯郸,114
邢台,180
保定,236
承德,63
沧州,129
廊坊,119
衡水,115
张家口,58
太原,142
大同,99
阳泉,113
长治,90
晋城,127
朔州,110
晋中,128
